City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
89,invercargill,-46.4,168.35,15.57,65,99,4.02,1707451485
90,campbellton,48.0075,-66.6727,-3.3,97,99,0.77,1707451780
91,melfi,40.9965,15.6514,8.05,91,4,3.47,1707451855
92,tazovsky,67.4667,78.7,-20.01,99,100,4.88,1707451490
93,hermanus,-34.4187,19.2345,17.46,81,56,3.57,1707451479
94,nova sintra,14.8667,-24.7167,21.64,70,0,6.23,1707451522
95,ust'-kut,56.7938,105.7672,-6.76,89,100,1.38,1707451855
96,woodward,36.4337,-99.3904,9.57,52,0,3.09,1707451855
97,afaahiti,-17.75,-149.2833,26.93,82,97,7.79,1707451513
98,fort mcmurray,56.7268,-111.381,-4.23,86,100,1.03,1707451517
99,kapuskasing,49.4169,-82.4331,4.05,60,100,5.66,1707451511
100,bubaque,11.2833,-15.8333,26.12,76,100,3.58,1707451502
101,jamestown,42.097,-79.2353,9.75,44,0,5.14,1707451259
102,touros,-5.1989,-35.4608,26.92,79,5,4.67,1707451685
103,san patricio,28.017,-97.5169,21.02,92,99,2.57,1707451509
104,sisimiut,66.9395,-53.6735,-16.35,75,85,9.18,1707451497
105,graaff-reinet,-32.2522,24.5308,14.96,71,79,1.32,1707451857
106,lethem,3.3803,-59.7968,27.45,60,94,3.06,1707451857
107,manokwari,-0.8667,134.0833,27.35,81,100,3.03,1707451857
108,edmundston,47.3737,-68.3251,-2.37,63,0,1.54,1707451675
109,kolonia town,6.964,158.206,31.06,66,75,2.57,1707451857
110,hasaki,35.7333,140.8333,11.27,63,100,6.42,1707451505
111,auki,-8.7676,160.7034,26.42,86,100,6.26,1707451769
112,san antonio de pale,-1.4014,5.6325,27.84,78,68,4.26,1707451479
113,enewetak,11.3474,162.3373,26.69,84,100,9.39,1707451494
114,otjiwarongo,-20.4637,16.6477,20.11,56,22,1.92,1707451858
115,hadibu,12.65,54.0333,25.34,69,25,5.75,1707451495
116,abong mbang,3.9833,13.1833,18.37,43,64,1.47,1707451859
